원본ID,구역명,자치구,유형,세부유형,단계,공개본
11000UQ120PS202407010884,"개포 경남,우성3,현대1",강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202601310005,"개포우성1,2차",강남구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11000UQ120PS202411014212,개포우성4차,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014211,개포우성6차,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014215,개포우성7차,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202408313074,개포주공5단지,강남구,재건축,재건축(공동),관리처분계획인가,2026-09-10
11000UQ120PS202408313076,"개포주공6,7단지",강남구,재건축,재건축(공동),사업시행인가,2026-09-10
11680UQ120PS202603100001,개포현대2차,강남구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11680UQ120PS202605200001,개포현대2차,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202601310089,개포현대4차아파트,강남구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11680UQ120PS202603120001,"개포현대아파트 200동,220동",강남구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11000UQ120PS202601310069,"경우현(개포경남,우성3차,현대1차)",강남구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202411014132,논현동현,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202505319994,논현청학 소규모재건축사업,강남구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11000UQ120PS202505319993,대성연립 소규모재건축사업,강남구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11680UQ120PS202604020001,대치 미도,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202601310070,대치미도,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202601310001,대치선경,강남구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11680UQ120PS202607300002,대치선경,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202411014183,대치쌍용1차,강남구,재건축,재건축(공동),사업시행인가,2026-09-10
11000UQ120PS202411014157,대치쌍용2차(통합재건축),강남구,재건축,재건축(공동),사업시행인가,2026-09-10
11000UQ120PS202505310003,"대치우성1,쌍용2",강남구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11680UQ120PS202606300001,대치우성1차(통합재건축),강남구,재건축,재건축(공동),사업시행인가,2026-09-10
11000UQ120PS202505310002,대치은마,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202505319992,도곡개포럭키아파트 소규모재건축사업,강남구,재건축,소규모재건축사업,사업시행계획인가,2026-09-10
11680UQ120PS202604100001,도곡개포한신,강남구,재건축,재건축(공동),관리처분계획인가,2026-09-10
11000UQ120PS202411014152,도곡삼익,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202411014156,도곡삼호,강남구,재건축,재건축(공동),착공,2026-09-10
11000UQ120PS202411014148,도곡우성,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202505319991,도곡우성5차 소규모재건축사업,강남구,재건축,소규모재건축사업,조합설립추진중,2026-09-10
11000UQ120PS202601310002,상록수아파트,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11680UQ120PS202607300001,상록수아파트,강남구,재건축,재건축(공동),구역지정,2026-09-10
11000UQ120PS202505319990,신성아트빌라 소규모재건축사업,강남구,재건축,소규모재건축사업,조합설립추진중,2026-09-10
11680UQ120PS202603090001,압구정2,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202407010876,압구정3,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202407010877,압구정4,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202407010878,압구정5,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202411014234,압구정아파트지구특별계획구역1,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11680UQ120PS202603090002,압구정아파트지구특별계획구역2,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014197,압구정아파트지구특별계획구역3,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014198,압구정아파트지구특별계획구역4,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014199,압구정아파트지구특별계획구역5,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11680UQ120PS202605200002,압구정아파트지구특별계획구역6,강남구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014155,"역삼동(758,은하수,760)",강남구,재건축,재건축(공동),착공,2026-09-10
11000UQ120PS202505319989,역삼아트빌라 소규모재건축사업,강남구,재건축,소규모재건축사업,준공,2026-09-10
11680UQ120PS202604280001,은마아파트,강남구,재건축,재건축(공동),사업시행인가,2026-09-10
11000UQ120PS202505310004,일원가람,강남구,신속통합기획,신속통합기획,기획완료,2026-09-10
11680UQ120PS202605200003,일원가람,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11680UQ120PS202604130001,일원개포한신,강남구,재건축,재건축(공동),관리처분계획인가,2026-09-10
11000UQ120PS202503070082,일원동 대청마을 북측구역,강남구,모아타운,모아타운,대상지선정,2026-09-10
11000UQ120PS202601310004,일원청솔,강남구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11000UQ120PS202601310003,일원한,강남구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11680UQ120PS202608280001,일원한솔아파트,강남구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202505319988,청담현대1차아파트 소규모재건축사업,강남구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11000UQ120PS202505310779,효성빌라 소규모재건축사업,강남구,재건축,소규모재건축사업,조합설립추진중,2026-09-10
11000UQ120PS202505310780,고덕대우아파트 소규모재건축정비사업,강동구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11000UQ120PS202505310005,고덕주공9,강동구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11000UQ120PS202505310775,길동 171지구,강동구,재개발,소규모재개발사업,조합설립추진중,2026-09-10
11000UQ120PS202505310781,길동 한전우성아파트 소규모재건축사업,강동구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11000UQ120PS202503070016,둔촌동 77-41번지 일대,강동구,모아타운,모아타운,관리지역고시,2026-09-10
11000UQ120PS202505310767,둔촌동 84지구,강동구,재개발,소규모재개발사업,조합설립인가,2026-09-10
11000UQ120PS202407010873,명일동고덕현대,강동구,신속통합기획,신속통합기획,기획완료,2026-09-10
11740UQ120PS202605200001,명일동고덕현대,강동구,재건축,재건축(공동),추진위구성,2026-09-10
11740UQ120PS202607010002,명일삼익그린11차아파트,강동구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11000UQ120PS202407010960,명일신동아,강동구,신속통합기획,신속통합기획,기획완료,2026-09-10
11740UQ120PS202605200002,명일신동아,강동구,재건축,재건축(공동),구역지정,2026-09-10
11000UQ120PS202601310006,명일우성,강동구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11000UQ120PS202502050001,명일한양,강동구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11000UQ120PS202411014246,삼익그린2차,강동구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014179,삼익맨션,강동구,재건축,재건축(공동),조합설립인가,2026-09-10
11000UQ120PS202411014129,삼익파크,강동구,재건축,재건축(공동),관리처분계획인가,2026-09-10
11000UQ120PS202505310782,상일동 보훈주택,강동구,재건축,소규모재건축사업,사업시행계획인가,2026-09-10
11740UQ120PS202605200003,상일동대림빌라,강동구,재건축,재건축(공동),추진위구성,2026-09-10
11740UQ120PS202605200004,상일동삼성빌라,강동구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202601310008,상일동우성타운,강동구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11740UQ120PS202605200005,상일동우성타운,강동구,재건축,재건축(공동),추진위구성,2026-09-10
11740UQ120PS202605200006,상일동현대빌라,강동구,재건축,재건축(공동),추진위구성,2026-09-10
11000UQ120PS202601310007,성내현대,강동구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11000UQ120PS202601310090,"유원연립,뉴삼성빌",강동구,재건축,소규모재건축사업,조합설립인가,2026-09-10
11000UQ120PS202411014115,천호3,강동구,재건축,재건축(단독),준공,2026-09-10
11000UQ120PS202601310045,천호3-1,강동구,재개발,재개발(주택정비형),추진위구성,2026-09-10
11740UQ120PS202604100001,천호3-1,강동구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202407010859,천호3-2,강동구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202411014499,천호3-2,강동구,재개발,재개발(주택정비형),건축심의,2026-09-10
11000UQ120PS202407010860,천호3-3,강동구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202411014500,천호3-3,강동구,재개발,재개발(주택정비형),조합설립인가,2026-09-10
11000UQ120PS202411014338,천호4,강동구,재개발,재개발(도시정비형),준공,2026-09-10
11000UQ120PS202411014337,천호8,강동구,재개발,재개발(도시정비형),건축심의,2026-09-10
11000UQ120PS202503310003,천호A1-1,강동구,재개발,재개발(주택정비형),조합설립인가,2026-09-10
11000UQ120PS202411014509,천호A1-2,강동구,재개발,재개발(주택정비형),조합설립인가,2026-09-10
11000UQ120PS202407010903,천호A1-2구역,강동구,신속통합기획,신속통합기획,기획완료,2026-09-10
11740UQ120PS202607210001,천호동 113-2번지 일대,강동구,모아타운,모아타운,관리지역고시,2026-09-10
11000UQ120PS202503070098,천호동 338번지 일대,강동구,모아타운,모아타운,관리지역고시,2026-09-10
11000UQ120PS202411014169,천호우성아파트,강동구,재건축,재건축(공동),관리처분계획인가,2026-09-10
11000UQ120PS202505310783,효성빌라 소규모재건축사업,강동구,재건축,소규모재건축사업,건축심의,2026-09-10
11000UQ120PS202411014320,강북3,강북구,재개발,재개발(도시정비형),관리처분계획인가,2026-09-10
11305UQ120PS202604170005,강북5,강북구,재개발,재개발(도시정비형),건축심의,2026-09-10
11000UQ120PS202505310842,동익연립 일대 주택재건축사업,강북구,재건축,소규모재건축사업,조합설립추진중,2026-09-10
11000UQ120PS202411014409,미아11,강북구,재개발,재개발(주택정비형),건축심의,2026-09-10
11000UQ120PS202411014473,미아2(재촉),강북구,재개발,재개발(주택정비형),조합설립인가,2026-09-10
11000UQ120PS202411014426,미아3(재촉),강북구,재개발,재개발(주택정비형),관리처분계획인가,2026-09-10
11000UQ120PS202411014111,미아4(재촉),강북구,재건축,재건축(단독),관리처분계획인가,2026-09-10
11000UQ120PS202407010867,미아4-1,강북구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202411014116,미아4-1,강북구,재건축,재건축(단독),조합설립인가,2026-09-10
11000UQ120PS202601310009,미아7,강북구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
11000UQ120PS202411014106,미아9-2,강북구,재건축,재건축(단독),사업시행인가,2026-09-10
11305UQ120PS202603040001,미아동 130 일대,강북구,신속통합기획,신속통합기획,기획완료,2026-09-10
11000UQ120PS202601310010,미아동 159,강북구,신속통합기획,신속통합기획,대상지선정(추진중),2026-09-10
